City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Sitges,ES,41.2351,1.8119,57.0,84,99,8.23,overcast clouds
316,Sakakah,SA,29.9697,40.2064,77.0,13,0,10.36,clear sky
317,Ossora,RU,59.2353,163.0719,33.31,96,99,9.28,overcast clouds
318,Kaduy,RU,59.2,37.15,35.06,96,100,8.5,snow
319,Derzhavinsk,KZ,51.1,66.3167,31.21,46,5,5.64,clear sky
320,Pingliang,CN,35.5392,106.6861,46.0,37,100,8.99,overcast clouds
321,Cherskiy,RU,68.75,161.3,35.91,81,16,21.32,few clouds
322,Benavente,ES,42.0025,-5.6783,44.6,100,90,2.3,overcast clouds
323,Olinda,BR,-8.0089,-34.8553,78.8,73,40,5.75,scattered clouds
324,Tura,IN,25.5198,90.2201,75.38,79,0,5.75,clear sky
325,Nalut,LY,30.3333,10.85,66.15,29,17,15.19,few clouds
326,Sturgeon Bay,US,44.8342,-87.377,37.4,64,75,9.22,broken clouds
327,Le Locle,CH,47.0595,6.7523,39.2,86,51,1.14,broken clouds
328,Caloundra,AU,-26.8,153.1333,80.01,63,0,5.01,clear sky
329,Boshnyakovo,RU,49.6333,142.1667,32.36,87,95,18.12,overcast clouds
330,Puerto Narino,CO,-3.7703,-70.3831,78.8,94,40,1.1,scattered clouds
331,Uyuni,BO,-20.4597,-66.825,50.18,16,0,7.11,clear sky
332,Yingcheng,CN,30.95,113.55,62.6,100,90,4.47,mist
333,Mount Gambier,AU,-37.8333,140.7667,48.2,76,90,11.5,overcast clouds
334,Uri,IN,34.0833,74.0333,50.22,92,100,4.59,overcast clouds
335,Marquette,US,46.5333,-87.6335,27.0,61,7,5.99,clear sky
336,Popondetta,PG,-8.7537,148.2534,89.85,54,92,4.41,overcast clouds
337,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.65,85,4,2.77,clear sky
338,Rocha,UY,-34.4833,-54.3333,59.47,89,2,6.67,clear sky
339,Broken Hill,AU,-31.95,141.4333,53.6,54,0,9.22,clear sky
340,Vagur,FO,61.4732,-6.8119,39.83,57,11,13.0,few clouds
341,Burgeo,CA,47.6167,-57.6152,41.32,78,100,5.75,overcast clouds
342,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,75,5.75,light rain
343,Cidreira,BR,-30.1811,-50.2056,70.99,67,97,16.4,overcast clouds
344,Astoria,US,46.1879,-123.8313,57.99,67,1,18.41,clear sky
345,Collingwood,CA,44.4834,-80.2164,33.8,69,100,5.75,overcast clouds
